mae,rmse,n,mape,baseline_mae,baseline_rmse,baseline_mape,mae_improvement_pct,beats_baseline,unit,task,model,baseline,epochs_run,train_seconds
0.06581688035398656,0.12034314035128343,5847,61.26538663353802,0.09207005941643427,0.17029327521912152,85.46193931815549,28.514350081717865,True,home_62,demand,LSTM,Seasonal persistence (t-24h),14,140.9
0.10509778136994213,0.2042811996444488,5271,48.40101592840102,0.13711398303662056,0.29035792784528147,61.76383832075424,23.350063179280195,True,home_65,demand,LSTM,Seasonal persistence (t-24h),22,168.2
0.06786702174325207,0.12384525602479272,5145,53.444135748594015,0.09963769921225747,0.17100701398037343,82.2865238002409,31.88620142796007,True,home_66,demand,LSTM,Seasonal persistence (t-24h),22,181.4
0.10649180179851778,0.16938122027947555,5135,42.014137075560484,0.12823996409952154,0.22577763751515703,49.904641629124875,16.95895850697989,True,home_68,demand,LSTM,Seasonal persistence (t-24h),17,126.1
0.10098666798201775,0.17666071092913385,5079,230.15379015596076,0.12033390862958664,0.24007542141903107,150.62097673878262,16.07796245289747,True,home_64,demand,LSTM,Seasonal persistence (t-24h),17,126.4
0.13357690208104964,0.21439623040305358,4992,66.7372617232825,0.17124401684724241,0.30988598687792257,83.51275902185517,21.996163988487602,True,home_67,demand,LSTM,Seasonal persistence (t-24h),18,136.0
0.15082513168716463,0.25121345841138243,4971,111.75414217877493,0.18051923640010284,0.3623615322628594,119.29498406448789,16.44927449566881,True,home_70,demand,LSTM,Seasonal persistence (t-24h),13,98.4
