task,model,mae,rmse,mape,baseline_mae,baseline_rmse,baseline_mape,mae_improvement_pct
Demand (RQ1),LSTM,0.10438031243084722,0.1800173165776529,87.68140992058738,0.1327369810916808,0.25282268501710664,90.40652327048588,22.176139161855986
Solar (RQ2),Gradient boosting,0.03283146575617843,0.07875277728525729,33.47363237354875,0.08995892977920723,0.21371886414158617,106.08198827072727,63.30390625077783
